WED,CSE-39,---,X,A-DL-106,AI(L),AI(L),A-LH-009,ML,A-LH-009,CC|SPM,AI
THU,CSE-39,---,X,---,X,X,---,X,---,X,X
FRI,CSE-39,A-LH-109,X,A-LH-109,UHV,ML,A-DL-101,AD,A-DL-101,AD(L),AD(L)
SAT,CSE-39,---,X,A-LH-005,ML,AI,A-LH-109,CC|SPM,---,X,X
,,,,,,,,,,,
DAY,Section,ROOM1,8-9,ROOM2,9-10,10-11,ROOM3,11-12,ROOM4,12-1,1-2
MON,CSE-40,---,X,---,X,X,A-LH-009,CC|SPM,A-LH-009,UHV,ML
TUE,CSE-40,---,X,A-LH-107,CC|SPM,AI,A-LH-005,ML,A-LH-005,X,X
WED,CSE-40,A-LH-104,X,A-LH-104,UHV,ML,---,X,---,X,X
THU,CSE-40,A-LH-004,ML,A-DL-108,AI(L),AI(L),A-LH-003,AI,A-LH-003,UHV,X
FRI,CSE-40,---,X,---,X,X,---,X,---,X,X
SAT,CSE-40,---,X,A-LH-009,CC|SPM,AI,A-DL-108,AD,A-DL-108,AD(L),AD(L)
,,,,,,,,,,,
DAY,Section,ROOM1,8-9,ROOM2,9-10,10-11,ROOM3,11-12,ROOM4,12-1,1-2
MON,CSE-41,---,X,A-LH-110,X,ML,A-DL-106,AD,A-DL-106,AD(L),AD(L)
TUE,CSE-41,---,X,A-LH-109,X,ML,A-LH-009,CC|SPM,A-LH-009,AI,X
WED,CSE-41,---,X,A-LH-105,CC|SPM,AI,A-LH-010,ML,A-LH-010,UHV,X
THU,CSE-41,---,X,A-LH-109,ML,UHV,---,X,---,X,X
FRI,CSE-41,A-LH-104,X,A-DL-101,AI(L),AI(L),A-LH-005,AI,A-LH-005,UHV,CC|SPM
SAT,CSE-41,---,X,---,X,X,---,X,---,X,X
,,,,,,,,,,,
DAY,Section,ROOM1,8-9,ROOM2,9-10,10-11,ROOM3,11-12,ROOM4,12-1,1-2
MON,CSE-42,---,X,---,X,X,---,X,---,X,X
TUE,CSE-42,---,X,A-LH-110,X,ML,A-DL-101,AD,A-DL-101,AD(L),AD(L)
WED,CSE-42,---,X,A-LH-107,X,ML,A-LH-104,CC|SPM,A-LH-104,UHV,X
THU,CSE-42,---,X,A-LH-110,X,CC|SPM,A-LH-004,UHV,A-LH-004,AI,X
FRI,CSE-42,---,X,A-LH-110,ML,UHV,A-LH-009,AI,A-LH-009,CC|SPM,X
